country_code,account_female,account_male,account_poor40,account_rich60,account_prim_less,account_sec_more
FIN,99.6891240901934,100.0,100.0,99.7377296216944,100.0,99.7926317518739
FRA,99.848494933374,98.4892614438192,98.7136082123328,99.5083961213691,98.0800344270783,99.3608082898503
GAB,63.7213310835604,72.417329210808,59.956979111285,73.6690786646814,58.1118867189379,78.206881213861
GBR,99.2689870562959,99.3005630735761,100.0,98.8073284000879,100.0,99.2375399538752
GEO,81.2949686953077,75.9235668308751,69.1241033260113,85.2884297115512,52.0302386858618,82.2820679585006
GHA,78.3104466801133,84.4194236475985,69.5783204095408,89.0315781082249,67.88099013833,89.3603080489269
GIN,31.2380546293167,40.8599709353785,29.3012686641546,40.5177154215811,29.1834302604183,63.4669777457274
GMB,34.8624918566457,41.7268890189075,34.4089976084921,40.6598827195065,26.434029718765,55.0348961632985
GRC,84.0948713682466,93.2644888438885,79.597500484544,94.5266580395786,80.6661969723101,89.5541648826708
GTM,32.5013354493048,44.6496505663004,28.3362046477051,44.8814148458965,28.4234840229176,50.0904765752146
HKG,96.7510977577504,97.9944921224797,93.7664847121074,99.6574393780457,93.4275524548894,98.4932713001205
HND,34.0839092123123,52.7899759195543,33.70730362306,48.2404991347721,32.5856754067295,61.4884162358046
HRV,92.0623021221886,93.2809278566284,87.6323883407511,95.9709470026774,71.4641662507071,98.3126962727022
HUN,83.709713865767,90.5416666845822,78.8623054417773,92.3576075400005,72.4452650984766,89.9129184767456
IDN,58.0308451514518,54.6388118836053,48.4188044924569,61.5891424502096,37.6382055660655,68.3276706855368
IND,89.2482328079147,88.8052472379392,86.3166812876253,90.8311710525466,87.0775161460382,93.1356957731427
IRL,96.9297997806724,99.6508190397291,99.0245742017698,97.8051699617657,92.9210412523047,98.5504330618525
IRN,86.7880629225257,95.3254505893739,86.8646774136072,93.8593399852516,83.5549189709626,94.1351572731291
IRQ,18.8101424848699,40.7785224794308,20.2214445724835,36.7811554429236,19.8681618947349,42.2564666797766
ISL,99.7045440269947,100.0,100.0,99.758129016103,100.0,99.7740688015962
