country,country_code,year,adult_pop,region,income_group,percent_with_fin_account,percent_with_fin_account_formal,percent_with_mobile_account,account_female,account_male,account_poor40,account_rich60,account_prim_less,account_sec_more,gdp_per_capita,region_geo
Ghana,GHA,2024,21563813.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.812430252,0.387411034,0.782813635,78.3104466801133,84.4194236475985,69.5783204095408,89.0315781082249,67.88099013833,89.3603080489269,2390.77237652715,Sub-Saharan Africa 
Greece,GRC,2024,8991800.0,High income,High income,0.885519759,0.885519759,,84.0948713682466,93.2644888438885,79.597500484544,94.5266580395786,80.6661969723101,89.5541648826708,24626.1481858973,Europe & Central Asia
Guatemala,GTM,2024,12299923.0,Latin America & Caribbean (excluding high income),Upper middle income,0.382819484,0.375315801,0.03300105,32.5013354493048,44.6496505663004,28.3362046477051,44.8814148458965,28.4234840229176,50.0904765752146,6150.02571438505,Latin America & Caribbean 
Guinea,GIN,2024,8464230.0,Sub-Saharan Africa (excluding high income),Low income,0.36048025,0.169033571,0.258219395,31.2380546293167,40.8599709353785,29.3012686641546,40.5177154215811,29.1834302604183,63.4669777457274,1694.95375862193,Sub-Saharan Africa 
Honduras,HND,2024,7345357.0,Latin America & Caribbean (excluding high income),Lower middle income,0.424429707,0.39273054,0.108892565,34.0839092123123,52.7899759195543,33.70730362306,48.2404991347721,32.5856754067295,61.4884162358046,3426.43483328923,Latin America & Caribbean 
"Hong Kong SAR, China",HKG,2024,6729811.0,High income,High income,0.973080247,0.973080247,,96.7510977577504,97.9944921224797,93.7664847121074,99.6574393780457,93.4275524548894,98.4932713001205,54074.6928519479,East Asia & Pacific
Hungary,HUN,2024,8202714.0,High income,High income,0.869605631,0.869605631,,83.709713865767,90.5416666845822,78.8623054417773,92.3576075400005,72.4452650984766,89.9129184767456,23292.3263882478,Europe & Central Asia
Iceland,ISL,2024,322325.0,High income,High income,0.998548358,0.998548358,,99.7045440269947,100.0,100.0,99.758129016103,100.0,99.7740688015962,86040.5309851288,Europe & Central Asia
India,IND,2024,1077731602.0,South Asia (excluding high income),Lower middle income,0.890248225,0.886553603,0.231007554,89.2482328079147,88.8052472379392,86.3166812876253,90.8311710525466,87.0775161460382,93.1356957731427,2694.73780859961,South Asia
Indonesia,IDN,2024,211076339.0,East Asia & Pacific (excluding high income),Lower middle income,0.563278494,0.523919069,0.220129024,58.0308451514518,54.6388118836053,48.4188044924569,61.5891424502096,37.6382055660655,68.3276706855368,4925.43048751861,East Asia & Pacific
"Iran, Islamic Rep.",IRN,2024,69914781.0,Middle East & North Africa (excluding high income),Lower middle income,0.910610045,0.910610045,0.131040105,86.7880629225257,95.3254505893739,86.8646774136072,93.8593399852516,83.5549189709626,94.1351572731291,5190.16959024821,"Middle East, North Africa, Afghanistan & Pakistan"
Iraq,IRQ,2024,28355455.0,Middle East & North Africa (excluding high income),Upper middle income,0.301610518,0.282661963,0.118649863,18.8101424848699,40.7785224794308,20.2214445724835,36.7811554429236,19.8681618947349,42.2564666797766,6073.61032342708,"Middle East, North Africa, Afghanistan & Pakistan"
Ireland,IRL,2024,4298252.0,High income,High income,0.982929182,0.982929182,,96.9297997806724,99.6508190397291,99.0245742017698,97.8051699617657,92.9210412523047,98.5504330618525,112894.953240805,Europe & Central Asia
Israel,ISR,2024,7062352.0,High income,High income,0.892691974,0.892691974,,88.0997205658934,90.4755385428348,80.3519531382311,95.2144131110401,70.5506295977132,90.1348814700177,54176.6844383302,"Middle East, North Africa, Afghanistan & Pakistan"
